date,cellCount,totalMines,passAMoves,canonicalSubsetMoves,genericSubsetMoves,advancedLogicMoves,disjunctiveMoves,wallEdgeCount,zeroClusterCount,fa_count,fb_count,fa_11,fb_11,fa_12,fb_12,fa_hole,fb_hole,fa_triangle,fb_triangle,fa_121,fb_121,fa_1221,fb_1221,fa_131,fb_131,fa_222,fb_222,fa_pair,fb_pair,fa_region,fb_region
2026-03-09,144,30,45,1,1,1,0,0,3,20,0,2,8,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,10
2026-03-10,144,42,51,2,6,8,1,0,7,30,0,3,2,3,6,2,0,0,0,0,0,0,0,0,1,0,0,5,14,10,14
2026-03-11,108,19,31,5,0,4,0,0,2,25,0,1,12,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9
2026-03-12,100,24,43,1,3,0,0,0,2,27,0,0,12,2,0,2,0,0,0,0,0,0,0,0,0,0,2,4,13,5,12
2026-03-13,108,18,16,1,7,0,0,0,2,11,0,3,16,6,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,8
2026-03-14,99,25,32,1,0,4,0,0,2,36,0,1,13,1,7,0,0,1,0,0,0,0,0,0,0,0,1,2,14,6,8
2026-03-15,120,26,43,0,0,0,0,6,2,42,0,8,4,2,11,7,0,0,0,0,2,0,0,0,2,4,2,12,13,14,5
2026-03-16,80,21,24,1,0,5,0,0,1,32,0,0,10,1,2,9,6,0,0,0,0,0,0,0,0,0,0,0,12,6,18
2026-03-17,100,23,44,0,9,8,0,0,3,42,0,3,9,2,4,3,0,3,0,0,0,0,0,0,3,0,0,14,6,8,17
2026-03-18,99,23,56,2,0,2,0,0,3,27,0,5,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,12,12,3
2026-03-19,88,15,49,1,0,0,0,0,3,15,0,1,6,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,11
2026-03-20,110,17,14,0,0,5,0,0,4,28,0,0,3,6,13,3,3,0,0,3,3,0,0,0,3,0,5,5,6,2,11
2026-03-21,96,17,28,0,0,0,0,0,2,15,0,0,4,0,1,0,0,0,0,2,3,0,2,0,0,0,1,3,0,0,9
2026-03-22,99,15,25,0,0,0,0,0,3,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,6
2026-03-23,132,34,68,1,11,3,0,0,2,43,0,1,17,7,8,4,0,0,3,1,1,0,0,0,2,0,0,1,10,5,18
2026-03-24,64,17,17,0,0,0,0,0,2,13,0,11,6,0,1,0,4,0,1,0,0,0,3,0,0,0,1,0,1,0,7
2026-03-25,99,20,36,1,0,0,0,0,3,13,0,5,6,5,7,0,6,0,0,3,2,0,0,0,0,0,3,2,1,6,8
2026-03-26,132,32,48,3,8,8,0,0,4,25,0,0,7,0,4,4,0,0,1,0,2,0,0,2,2,0,2,3,8,7,13
2026-03-27,108,16,40,0,0,0,0,0,4,27,0,1,5,5,3,2,0,0,1,0,0,0,0,0,0,0,1,1,5,7,10
2026-03-28,108,27,42,0,0,4,0,0,4,41,0,1,12,2,11,8,3,0,3,0,1,0,2,0,0,0,0,5,18,6,13
2026-03-29,72,12,11,3,8,0,0,7,1,22,0,2,3,5,5,0,0,0,3,0,2,0,0,0,1,0,3,7,9,8,18
2026-03-30,108,32,48,0,0,3,0,0,4,39,0,2,18,11,9,10,0,2,2,3,3,0,1,0,1,4,3,7,22,3,18
2026-03-31,100,17,33,0,2,0,0,0,3,29,0,1,4,0,8,3,3,0,0,0,0,0,0,0,2,0,0,5,7,9,23
2026-04-01,100,15,33,0,0,0,0,0,4,21,0,4,10,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,9,4
2026-04-02,120,32,59,2,0,10,0,7,5,42,0,2,1,3,5,3,0,0,2,4,0,0,0,0,2,1,1,4,16,9,24
2026-04-03,88,16,30,0,0,0,0,0,2,43,0,0,0,3,11,0,0,0,0,0,0,0,0,0,1,0,4,6,23,6,19
2026-04-04,88,26,41,2,0,10,0,0,1,12,0,0,1,0,3,7,0,0,2,0,0,0,0,0,1,1,1,0,14,11,10
2026-04-05,96,26,38,4,9,7,0,0,4,17,0,10,13,0,3,5,1,0,3,1,1,0,4,0,0,0,0,0,4,0,4
2026-04-06,108,29,53,3,0,0,0,0,4,17,0,4,5,2,2,3,2,0,4,4,4,4,4,0,0,2,3,5,11,2,6
2026-04-07,132,29,44,3,0,7,0,0,4,33,0,3,3,6,17,8,2,3,0,0,0,0,0,0,0,0,11,6,17,8,17
2026-04-08,144,39,52,5,2,1,0,0,3,52,2,1,12,6,11,2,3,0,0,0,0,0,0,0,1,0,4,2,20,4,13
2026-04-09,108,28,40,2,5,5,0,0,2,36,0,2,17,5,11,0,3,0,0,0,2,0,0,0,0,0,1,5,7,9,16
2026-04-10,88,26,33,1,2,1,0,0,3,25,0,3,5,1,14,3,0,0,0,0,0,0,1,0,0,0,0,0,7,3,8
2026-04-11,96,28,20,3,3,3,0,0,4,21,9,1,2,0,3,3,0,2,0,0,0,0,0,0,0,0,0,1,7,3,10
2026-04-12,132,25,61,3,0,0,0,0,5,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,1,3
2026-04-13,110,22,33,1,0,8,0,0,4,32,0,1,1,1,9,4,0,3,0,3,0,0,0,0,2,0,4,3,15,8,22
2026-04-14,99,25,41,2,0,0,0,0,2,24,0,7,11,2,7,3,5,0,0,3,3,0,1,0,1,0,1,1,5,0,6
2026-04-15,81,16,26,2,3,0,0,0,3,9,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,7
2026-04-16,99,14,19,0,0,0,0,0,2,26,0,1,7,0,6,8,6,0,1,1,0,0,0,0,0,0,1,5,5,6,21
2026-04-17,120,27,38,3,0,2,0,0,3,18,0,4,6,3,5,0,2,0,0,2,2,0,1,0,2,0,2,4,8,4,7
2026-04-18,110,26,27,3,0,4,0,0,2,25,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,4,17,2,15
2026-04-19,108,21,36,0,0,0,0,6,4,30,0,0,4,1,7,12,0,0,0,0,0,0,0,0,0,0,1,7,24,8,13
2026-04-20,81,20,23,4,3,0,0,0,3,13,0,5,2,1,3,0,3,0,0,0,0,0,0,0,0,0,5,1,5,0,2
2026-04-21,110,19,44,2,0,0,0,0,6,37,0,11,14,5,8,2,6,0,3,1,2,0,0,0,0,1,2,1,18,9,12
2026-04-22,88,24,38,0,0,0,0,0,3,32,0,3,9,3,10,6,0,0,1,1,0,0,2,0,0,0,2,4,1,6,9
2026-04-23,120,25,63,1,0,0,0,0,4,23,0,3,8,2,17,10,8,6,2,2,2,0,2,0,0,0,0,0,3,9,11
2026-04-24,81,22,26,1,0,9,0,0,3,16,0,1,0,2,3,6,0,0,0,0,1,0,0,0,2,0,1,3,4,13,15
2026-04-25,99,18,45,3,0,0,0,0,7,20,5,1,2,3,6,5,0,0,1,0,0,0,1,2,2,0,1,2,3,1,11
2026-04-26,96,18,42,0,0,0,0,0,3,24,0,0,6,5,2,8,6,0,6,0,0,0,0,0,0,0,1,1,12,4,9
2026-04-27,96,27,45,2,0,5,0,0,1,35,0,0,6,8,2,0,0,0,4,0,0,0,0,0,0,0,1,4,11,5,28
2026-04-28,110,28,47,2,0,0,0,0,6,35,0,1,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0
2026-04-29,64,15,16,0,3,3,0,10,1,15,0,0,5,0,2,4,0,0,0,0,0,0,2,0,1,0,0,0,6,0,3
2026-04-30,108,30,34,0,2,0,0,0,4,30,0,1,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9
2026-05-01,120,28,48,0,0,0,0,0,5,38,3,2,5,3,3,0,3,0,1,0,0,0,0,0,1,0,0,6,23,3,13
2026-05-02,132,31,53,2,0,25,0,0,5,44,0,6,9,2,8,0,0,0,0,0,1,0,0,0,0,1,9,15,16,4,29
2026-05-03,120,26,52,2,0,0,0,0,7,32,0,9,12,0,8,1,0,0,0,0,0,0,0,0,0,1,6,9,8,5,19
2026-05-04,88,14,35,0,0,0,0,0,4,26,0,6,17,1,7,2,0,0,0,0,0,0,0,0,0,0,4,0,4,1,4
2026-05-05,90,22,39,1,0,0,0,0,4,28,0,2,14,3,1,0,0,0,0,0,0,0,0,2,3,0,1,0,11,4,9
2026-05-06,110,25,38,3,0,4,0,8,3,24,0,3,3,2,5,0,2,0,0,3,3,0,0,0,0,1,6,2,11,9,9
2026-05-07,90,20,22,0,0,0,7,0,2,18,0,0,1,0,4,3,3,0,0,0,0,0,0,0,0,0,1,4,10,4,10
2026-05-08,88,15,32,0,0,0,0,6,3,22,0,6,11,0,2,0,2,0,0,0,0,0,0,0,0,0,6,1,1,2,9
2026-05-09,110,20,41,2,3,0,0,6,4,32,0,3,10,5,7,2,0,0,1,0,1,0,2,0,0,0,5,5,17,2,5
2026-05-10,88,24,40,2,0,0,0,0,3,18,0,1,3,4,3,4,3,0,0,0,0,0,0,0,1,1,1,7,8,7,21
2026-05-11,80,20,28,2,2,0,0,7,2,24,0,0,12,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5
2026-05-12,132,27,32,3,3,0,0,9,5,29,0,4,4,0,6,4,3,0,0,0,0,0,0,0,0,0,1,0,13,3,13
2026-05-13,110,29,37,1,6,13,0,10,4,22,0,8,12,1,5,6,6,0,0,0,0,0,0,0,0,0,0,11,14,9,20
2026-05-14,72,12,5,4,3,0,2,0,1,9,0,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,4,3,1,4
2026-05-15,96,27,46,1,0,0,0,0,2,24,0,1,6,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8
2026-05-16,88,25,24,0,6,5,0,7,3,20,0,0,2,0,3,6,0,0,3,0,0,0,0,0,0,0,0,2,8,0,12
2026-05-17,100,19,37,0,0,0,0,0,4,15,0,6,9,2,1,0,3,0,0,0,0,0,0,0,2,0,0,1,9,7,7
2026-05-18,108,28,40,2,5,6,0,0,3,29,0,4,0,2,7,2,1,3,3,2,0,0,0,0,0,0,1,4,6,7,17
2026-05-19,88,13,38,0,0,0,0,7,6,24,0,9,21,6,2,0,7,0,0,0,1,0,0,0,0,0,3,2,4,1,4
2026-05-20,81,18,25,0,0,0,0,0,2,15,0,0,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,6,0,6
2026-05-21,100,23,46,4,0,0,0,0,2,22,0,2,8,5,8,8,0,0,0,4,0,0,0,0,1,0,4,1,16,11,13
2026-05-22,80,23,20,0,0,0,9,0,2,22,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,1,3
2026-05-23,96,28,25,3,3,5,0,11,2,29,0,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,18
2026-05-24,72,17,22,1,0,2,0,0,1,15,0,1,5,1,4,0,0,0,0,0,0,0,2,0,0,0,4,4,7,4,3
2026-05-25,99,26,52,2,0,0,2,0,4,44,0,2,12,0,4,3,0,0,2,0,0,0,0,0,0,0,0,6,26,4,15
2026-05-26,132,25,57,4,5,0,0,7,5,34,0,3,18,6,7,2,0,6,0,0,0,0,0,0,0,0,8,7,17,9,15
2026-05-27,81,23,31,1,2,7,0,7,3,22,0,3,5,4,8,2,0,0,0,0,0,0,0,0,0,0,3,3,9,6,14
2026-05-28,132,19,43,1,0,0,0,6,5,35,0,1,16,3,11,0,0,0,0,0,2,0,0,0,0,0,0,5,6,1,10
2026-05-29,64,9,19,0,0,0,2,0,2,15,0,1,6,2,6,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,6
2026-05-30,96,26,36,0,5,4,0,7,1,24,0,4,6,3,10,0,0,0,1,0,0,0,0,0,0,0,0,7,3,5,8
2026-05-31,120,25,46,0,0,7,0,5,6,35,0,2,7,2,9,3,0,0,3,0,0,0,0,0,0,1,8,10,14,3,12
2026-06-01,96,29,29,3,9,7,4,0,1,20,0,0,2,3,7,6,4,0,2,0,2,0,0,0,0,1,4,3,9,19,19
2026-06-02,108,28,41,1,2,3,0,7,4,24,0,5,5,4,4,5,3,0,0,0,0,0,0,0,0,0,3,7,22,3,10
2026-06-03,132,37,58,1,3,0,0,0,4,50,0,3,5,3,1,5,0,0,3,0,1,0,0,0,1,0,0,3,3,1,5
2026-06-04,80,13,27,1,0,0,0,6,2,17,0,5,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,6
2026-06-05,132,40,44,4,6,4,0,0,3,38,0,2,10,1,5,0,0,0,0,0,0,0,0,0,1,0,1,4,11,13,28
2026-06-06,72,13,13,1,3,0,0,7,1,9,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5
2026-06-07,110,31,45,1,0,7,0,0,3,29,0,5,0,4,3,3,0,0,0,0,0,3,0,0,0,0,0,5,0,6,1
2026-06-08,81,22,33,1,0,4,0,0,2,19,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,4,10,2
2026-06-09,132,25,49,1,2,0,0,0,5,25,0,3,21,8,7,0,0,0,0,7,3,0,0,0,1,0,3,7,6,3,11
2026-06-10,99,18,45,0,0,0,0,0,3,36,0,2,8,6,14,3,0,0,0,0,0,0,0,0,0,0,0,2,15,2,9
2026-06-11,96,26,42,0,0,0,0,0,1,25,0,1,2,1,9,3,0,0,0,0,0,0,0,0,0,0,0,2,13,10,18
2026-06-12,80,19,39,0,0,0,0,0,2,31,0,1,12,2,4,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,21
2026-06-13,64,16,16,0,0,13,0,0,4,23,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,5,8,0,15
2026-06-14,90,27,36,0,0,0,0,0,2,24,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,12,6,7
2026-06-15,120,34,57,2,0,0,0,0,5,33,4,2,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,15,5,9,9
2026-06-16,120,25,53,0,0,0,0,0,4,28,0,13,18,1,2,6,7,0,5,1,1,0,0,0,0,0,3,3,9,2,7
2026-06-18,90,21,40,0,0,0,0,0,4,24,0,3,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,4,13,9,12
2026-06-19,120,24,36,1,3,0,0,0,4,35,0,0,10,9,9,0,4,0,1,5,1,0,0,0,0,0,0,1,18,4,3
2026-06-20,132,22,47,1,0,0,0,0,3,24,0,3,11,2,8,6,0,0,0,3,2,0,0,0,0,2,3,3,14,6,11
2026-06-21,72,10,13,0,0,0,0,0,2,10,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,3
2026-06-22,120,36,53,2,0,8,0,0,4,47,0,0,4,4,2,4,3,0,0,0,0,0,0,0,0,1,1,3,9,3,6
2026-06-23,108,21,42,2,0,0,0,0,3,27,0,6,10,0,7,2,3,0,1,0,0,0,0,0,3,0,0,7,15,3,6